timestamp;value
1638638798.1925385;-1
1638638798.1929088;-8
1638638798.193172;15
1638638798.193549;59
1638638798.1939256;66
1638638798.1943026;50
1638638798.1946793;6
1638638798.1950562;-12
1638638798.195433;-22
1638638798.1958098;-39
1638638798.1961868;-39
1638638798.1965635;-31
1638638798.1969404;-7
1638638798.1973171;7
1638638798.197694;13
1638638798.198071;20
1638638798.1984477;37
1638638798.1988246;29
1638638798.199055;10
1638638798.1994328;14
1638638798.1998107;10
1638638798.2001886;5
1638638798.2005668;3
1638638798.2009447;-4
1638638798.2013226;5
1638638798.2017004;15
1638638798.2020783;8
1638638798.2024562;0
1638638798.2028344;-11
1638638798.2032123;-19
1638638798.2035902;-43
1638638798.203968;-65
1638638798.204346;-80
1638638798.2047238;-82
1638638798.204955;-67
1638638798.2053409;-24
1638638798.2057269;60
1638638798.2061126;47
1638638798.2064986;54
1638638798.2068844;72
1638638798.2072704;102
1638638798.2076561;122
1638638798.2080421;119
1638638798.208428;136
1638638798.208814;117
1638638798.2091997;106
1638638798.2095854;56
1638638798.2099714;14
1638638798.2103572;-17
1638638798.2107432;-16
1638638798.210976;-3
1638638798.2113574;45
1638638798.2117388;51
1638638798.21212;56
1638638798.2125015;46
1638638798.212883;37
1638638798.2132645;27
1638638798.213646;27
1638638798.2140272;28
1638638798.2144086;37
1638638798.21479;43
1638638798.2151716;42
1638638798.215553;28
1638638798.2159343;1
1638638798.2163157;-1
1638638798.2166972;-23
1638638798.216927;-38
1638638798.2173064;-38
1638638798.217686;-34
1638638798.2180653;-54
1638638798.2184446;-60
1638638798.2188241;-55
1638638798.2192035;-53
1638638798.2195828;-47
1638638798.2199624;-45
1638638798.2203417;-38
1638638798.2207212;-22
1638638798.2211006;-11
1638638798.22148;-6
1638638798.2218595;12
1638638798.2222388;4
1638638798.222618;4
1638638798.222847;13
1638638798.2232332;6
1638638798.2236195;-4
1638638798.2240057;-4
1638638798.224392;8
1638638798.2247782;8
1638638798.2251644;3
1638638798.2255507;3
1638638798.2259371;-8
1638638798.2263234;-14
1638638798.2267096;-33
1638638798.2270958;-32
1638638798.227482;-28
1638638798.2278683;-13
1638638798.2282546;-32
1638638798.2286408;-26
1638638798.228872;-29
1638638798.2292528;-24
1638638798.2296336;-21
1638638798.230014;-16
1638638798.2303948;-8
1638638798.2307756;13
1638638798.2311563;7
1638638798.2315369;78
1638638798.2319176;37
1638638798.2322984;44
1638638798.2326791;51
1638638798.23306;63
1638638798.2334404;73
1638638798.2338212;63
1638638798.234202;48
1638638798.2345827;31
1638638798.23482;12
1638638798.2352026;-14
1638638798.235585;-11
1638638798.2359676;-18
1638638798.2363503;-36
1638638798.236733;-38
1638638798.2371154;-36
1638638798.237498;-26
1638638798.2378807;-28
1638638798.2382631;-36
1638638798.2386458;-45
1638638798.2390285;-54
1638638798.239411;-55
